parte,variante,termino,est,ic_inf,ic_sup,p
1_presencia_logit,c_sin_corredor_norte,C(cod_reg)[T.12],0.011097630304393412,3.285229127168925e-05,3.7488221857792596,0.1297372103529414
1_presencia_logit,c_sin_corredor_norte,C(cod_reg)[T.13],0.012441194947709127,0.00010840078678784776,1.4278801502597112,0.0698669834076051
1_presencia_logit,c_sin_corredor_norte,C(cod_reg)[T.14],0.0032455406340809487,3.074636729903142e-05,0.34259442440871396,0.0159272768511264
1_presencia_logit,c_sin_corredor_norte,C(cod_reg)[T.15],1.9051370889993424e-10,0.0,inf,0.999869325870946
1_presencia_logit,c_sin_corredor_norte,C(cod_reg)[T.16],0.009140994939746613,9.788650726778728e-05,0.8536190617148578,0.04252552687549249
1_presencia_logit,c_sin_corredor_norte,log_pob,13.352938180911964,6.854464777088272,26.01238227370358,2.583800650999964e-14
2_intensidad_nb,c_sin_corredor_norte,Intercept,8.392121761815518e-05,9.596333476900834e-06,0.0007339022537583015,2.1934095601416198e-17
2_intensidad_nb,c_sin_corredor_norte,C(cuartil)[T.2],1.131717160161894,0.7617880957706116,1.6812860921767012,0.5400787929385312
2_intensidad_nb,c_sin_corredor_norte,C(cuartil)[T.3],1.2687469444089716,0.8539611136148582,1.8850024705845045,0.2386352420537936
2_intensidad_nb,c_sin_corredor_norte,C(cuartil)[T.4],0.7656350803854364,0.5048268022002964,1.161184536482341,0.2088585206908693
2_intensidad_nb,c_sin_corredor_norte,"C(clasif, Treatment(reference=""Rural""))[T.Mixta]",1.44146121501979,1.0148992167138,2.0473071613299596,0.04109425722670013
2_intensidad_nb,c_sin_corredor_norte,"C(clasif, Treatment(reference=""Rural""))[T.Urbana]",1.6429171020683104,0.9745927498845909,2.7695430779555523,0.06240984542253325
2_intensidad_nb,c_sin_corredor_norte,C(cod_reg)[T.2],0.9529370275510651,0.380578774400134,2.386073631954867,0.9180115789096079
2_intensidad_nb,c_sin_corredor_norte,C(cod_reg)[T.3],0.7048828213434105,0.28876863337472286,1.72061551844619,0.44243511738924346
2_intensidad_nb,c_sin_corredor_norte,C(cod_reg)[T.4],0.2525493005456457,0.10673340750955874,0.597574374268739,0.0017382780787798702
2_intensidad_nb,c_sin_corredor_norte,C(cod_reg)[T.5],0.29341331102509544,0.13203591933914147,0.6520299288073196,0.0026152224869522523
2_intensidad_nb,c_sin_corredor_norte,C(cod_reg)[T.6],0.16254718378357405,0.07320003456804638,0.36095047101937666,8.064114532468581e-06
